model,spec,intercept,se_intercept,p_intercept,b_intent,se_intent,p_intent,b_outcome,se_outcome,p_outcome,b_interaction,se_interaction,p_interaction,cell_neutral,cell_accidental,cell_attempted,cell_intentional,diag_attempted_minus_accidental,saturating_factor,var_scenario_group,var_residual,converged,n_obs,n_groups,n_stories,note
allenai/OLMo-2-1124-7B-Instruct,template_absorbed,-0.03595094825770044,0.01807412609538881,0.04669197341070004,0.09298504273504046,0.016989658592893888,4.4238584289733314e-08,0.7351511832732075,0.016790595769709815,0.0,-0.11010881895881583,0.023633738366443814,3.1779936694825463e-06,0.14758194444444445,0.8804752247752248,0.24056698717948719,0.8633514485514485,-0.6399082375957376,outcome,0.005908184375786446,0.02015257414837481,True,3874,53,298,
allenai/OLMo-2-1124-7B,primary,0.21638742325011384,0.00539151744876125,0.0,0.006248611111111146,0.0031259764292515977,0.045615822766821384,0.008487112092413249,0.0030964672827725167,0.006127085606431071,-0.005555004717504739,0.004348439885631545,0.20143610424271674,0.21813386752136754,0.22575584415584418,0.22438247863247862,0.22644945054945056,-0.0013733655233655606,outcome,0.001260458870535037,0.003798926061939021,False,3874,53,298,
allenai/OLMo-2-1124-7B,template_absorbed,0.19283739447466033,0.00409297711438375,0.0,0.006248611111111138,0.002155899245970086,0.0037509811708904247,0.008480841698159615,0.0021362423677438866,7.187835112155503e-05,-0.005555004717504785,0.0029989983874650497,0.06398466974162882,0.21813386752136754,0.22575584415584418,0.22438247863247862,0.22644945054945056,-0.0013733655233655606,outcome,0.0005635685281947208,0.0011610664011718387,True,3874,53,298,
mistralai/Mistral-7B-Instruct-v0_3,primary,0.17017778866647826,0.017504284127495214,2.428065102565506e-22,0.1258651620370366,0.013657882249728182,3.096304778089208e-20,0.5926132082999946,0.013525430661952264,0.0,-0.135439512686387,0.01899901719418787,1.0127409173372552e-12,0.17200578703703703,0.7589683982683982,0.2978709490740741,0.7493940476190476,-0.46109744919432416,outcome,0.01091039819840697,0.024181531111019818,True,3576,53,298,
mistralai/Mistral-7B-Instruct-v0_3,template_absorbed,0.2094627758008353,0.018423416058975683,5.940962646414753e-30,0.12586516203703751,0.013657889380129686,3.0964436451901646e-20,0.5926129929758281,0.013525434574359651,0.0,-0.13543951268638826,0.01899902711304776,1.0127682967657587e-12,0.17200578703703703,0.7589683982683982,0.2978709490740741,0.7493940476190476,-0.46109744919432416,outcome,0.010908720346369192,0.010745572441596875,True,3576,53,298,
mistralai/Mistral-7B-v0_3,primary,0.24088446876719416,0.0023296199809523946,0.0,0.0028651620370370562,0.0017996342547564488,0.11136668877555819,0.00547933911162916,0.001781780186623094,0.002103580016916153,-0.004113105759980785,0.002503410230385296,0.10038270585965725,0.2414171296296296,0.24636785714285714,0.24428229166666668,0.24511991341991343,-0.0020855654761904596,outcome,0.00019514829954412103,0.001369951030768541,True,3576,53,298,
mistralai/Mistral-7B-v0_3,template_absorbed,0.26251614813740654,0.002628691522823482,0.0,0.002865162037036981,0.001082631845933145,0.008133464567672074,0.005584300290103465,0.0010732318559347773,1.958266215903592e-07,-0.0041131057599807066,0.001506012475416424,0.006311885253606049,0.2414171296296296,0.24636785714285714,0.24428229166666668,0.24511991341991343,-0.0020855654761904596,outcome,0.0002520848929228487,0.0004926517376574174,False,3576,53,298,
unsloth/Meta-Llama-3_1-8B-Instruct,primary,0.3599623348020168,0.014124351619737872,2.874264526840645e-143,0.15374123931623912,0.01362603538078811,1.5939702121842197e-29,0.3568451163600123,0.013484867783319837,2.6108235534054917e-154,-0.18273924131424024,0.01895471609395065,5.375032134532454e-22,0.3645800213675213,0.7164205794205794,0.5183212606837607,0.6874225774225774,-0.19809931873681863,outcome,0.005310720741285837,0.013309862646536665,True,3874,53,298,
unsloth/Meta-Llama-3_1-8B-Instruct,template_absorbed,0.5115959581799925,0.01452714560299036,1.1159766720037735e-271,0.15374123931622888,0.013626447175581818,1.6001618101613034e-29,0.35684501355603404,0.013485274568179903,2.6671786878617054e-154,-0.18273924131422992,0.018955288927734258,5.390310310340442e-22,0.3645800213675213,0.7164205794205794,0.5183212606837607,0.6874225774225774,-0.19809931873681863,outcome,0.00531076190021392,0.003723542773089572,True,3874,53,298,
unsloth/Meta-Llama-3_1-8B,primary,0.234510995225027,0.003950352713105525,0.0,0.0070896367521363106,0.004262081896858289,0.09622818199236208,0.004478389799136813,0.004212887033489796,0.28777216847228937,-0.004111914474414094,0.005928837704180602,0.4879677303508899,0.23703814102564105,0.23998021978021977,0.24412777777777778,0.24295794205794205,0.004147557997558005,intent,0.00031628722850878227,0.008199333492434464,False,3874,53,298,
unsloth/Meta-Llama-3_1-8B,template_absorbed,0.2104467227207095,0.0037570979134159375,0.0,0.007089636752136814,0.001572266349881099,6.507774489543485e-06,0.005774623280262129,0.0015592066778853967,0.00021259067721385216,-0.00411191447441457,0.0021871264423756836,0.06010080241182805,0.23703814102564105,0.23998021978021977,0.24412777777777778,0.24295794205794205,0.004147557997558005,intent,0.0005481492859482029,0.0007822553088175966,True,3874,53,298,
unsloth/gemma-2-9b-it,primary,0.19253592062412017,0.02520130062698609,2.173567544652469e-14,0.2356438034188019,0.022156829618698148,2.042424487022174e-26,0.6453342614790631,0.02193156168548726,2.637086899418727e-190,-0.25156218503718414,0.03082161488855381,3.298619673600391e-16,0.20337820512820512,0.8405303696303696,0.43902200854700857,0.824611988011988,-0.4015083610833611,outcome,0.01968319494731811,0.021839356494417827,True,3874,53,298,
unsloth/gemma-2-9b-it,template_absorbed,0.23674551260151153,0.02612543665844818,1.2822388330322591e-19,0.23564380341880423,0.022157400815365973,2.0484403954803398e-26,0.645333424262443,0.021932114006082463,2.6983175875318557e-190,-0.2515621850371854,0.030822409460883216,3.304371994235267e-16,0.20337820512820512,0.8405303696303696,0.43902200854700857,0.824611988011988,-0.4015083610833611,outcome,0.019677609872528895,0.015343001452136414,True,3874,53,298,
unsloth/gemma-2-9b,primary,0.10472857376053794,0.003968207892731837,1.6969995015072195e-153,0.002175320512820618,0.005548085185141404,0.6949954724656768,0.0013698094963256887,0.005458112960905906,0.8018391610918105,-0.0013177780552782905,0.0077177533017183785,0.8644232313205076,0.10475032051282052,0.1060963036963037,0.10692564102564102,0.10695384615384615,0.0008293373293373207,intent,1.5735229094820294e-05,0.013478562585421435,False,3874,53,298,
unsloth/gemma-2-9b,template_absorbed,0.0669492148831045,0.0013366766614891876,0.0,0.002175320512820459,0.0006473251869553906,0.0007780839587934295,0.002108681388146166,0.00064250027662881,0.0010307617656650587,-0.0013177780552780037,0.0009004721326720407,0.14334971765021187,0.10475032051282052,0.1060963036963037,0.10692564102564102,0.10695384615384615,0.0008293373293373207,intent,5.403894585427069e-05,0.00017349699662039692,True,3874,53,298,
HUMAN (Young 2007),reference,0.033,,,0.9,,,0.234,,,-0.2000000000000001,,,0.033,0.267,0.933,0.967,0.666,intent,,,,,,,"computed from normalised cell means, no SE available"
