direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
outcome_dom,0.025,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0164
outcome_dom,0.025,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0164
outcome_dom,0.025,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0164
outcome_dom,0.025,True,24,downstream,intent,0.8926,0.8926,0.0,0.0075,0.975,0.0164
outcome_dom,0.025,True,24,downstream,outcome,0.9966,0.9832,-0.0134,0.0832,0.9993,0.0164
outcome_dom,0.025,True,32,final layer,intent,0.8624,0.8557,-0.0067,-0.013,0.9798,0.0164
outcome_dom,0.025,True,32,final layer,outcome,0.9899,0.9832,-0.0067,0.0789,1.0028,0.0164
outcome_dom,0.05,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0421
outcome_dom,0.05,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0421
outcome_dom,0.05,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0421
outcome_dom,0.05,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0421
outcome_dom,0.05,True,24,downstream,intent,0.8926,0.8893,-0.0034,0.0094,0.9477,0.0421
outcome_dom,0.05,True,24,downstream,outcome,0.9966,0.9832,-0.0134,0.1711,0.9882,0.0421
outcome_dom,0.05,True,32,final layer,intent,0.8624,0.8523,-0.0101,-0.0354,0.9558,0.0421
outcome_dom,0.05,True,32,final layer,outcome,0.9899,0.9799,-0.0101,0.1621,0.9972,0.0421
outcome_dom,0.1,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.1192
outcome_dom,0.1,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.1192
outcome_dom,0.1,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.1192
outcome_dom,0.1,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.1192
outcome_dom,0.1,True,24,downstream,intent,0.8926,0.8456,-0.047,-0.0462,0.8795,0.1192
outcome_dom,0.1,True,24,downstream,outcome,0.9966,0.9228,-0.0738,0.3697,0.9127,0.1192
outcome_dom,0.1,True,32,final layer,intent,0.8624,0.7852,-0.0772,-0.143,0.9015,0.1192
outcome_dom,0.1,True,32,final layer,outcome,0.9899,0.9362,-0.0537,0.3622,0.9511,0.1192
outcome_dom,0.15,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.1557
outcome_dom,0.15,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.1557
outcome_dom,0.15,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.1557
outcome_dom,0.15,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.1557
outcome_dom,0.15,True,24,downstream,intent,0.8926,0.755,-0.1376,-0.1919,0.7689,0.1557
outcome_dom,0.15,True,24,downstream,outcome,0.9966,0.7785,-0.2181,0.5566,0.7404,0.1557
outcome_dom,0.15,True,32,final layer,intent,0.8624,0.7047,-0.1577,-0.3589,0.8299,0.1557
outcome_dom,0.15,True,32,final layer,outcome,0.9899,0.7987,-0.1913,0.574,0.8106,0.1557
