model,level,level_name,cumulative,components,n_templates,n_groups,n_cells,contrast,contrast_lo,contrast_hi,d_contrast,d_lo,d_hi,d_neutral,d_accidental,d_attempted,d_intentional,b_intent,b_outcome,b_interaction,b0,mean_neutral,mean_accidental,mean_attempted,mean_intentional,rating_std,extreme_frac,n_ratings
unsloth/gemma-2-9b-it,8,ABL_principle_only,False,principle,7,53,371,-0.1956106918238994,-0.25218569754114817,-0.13431287872053682,0.17919855963611864,0.1274011132049687,0.22764212853773585,-0.10294419642857143,-0.3539981132075472,-0.17479955357142846,-0.23345983827493266,0.19452738095238098,0.3901380727762804,-0.08095716531895787,0.07002499999999999,0.07002499999999999,0.4601630727762804,0.264552380952381,0.5737332884097035,0.30152241139992497,0.2181208053691275,2086
allenai/Llama-3.1-Tulu-3-8B,4,few_shot_adult,True,cue+worked+fewshot,7,53,371,-0.39718039364330643,-0.4487663016564443,-0.3478144073237602,0.0005078504043125598,-0.03455670925794442,0.03597655454640136,-0.03152812500000002,-0.028548921832883933,-0.028041071428571374,-0.03742843665768203,0.17010476190476195,0.5672851555480684,-0.19294761904761923,0.11335877976190475,0.11335877976190475,0.6806439353099731,0.2834635416666667,0.6578010781671159,0.2843214037442039,0.019175455417066157,2086
allenai/Llama-3.1-Tulu-3-8B,5,intent_principle,True,cue+worked+fewshot+principle,7,53,371,-0.32499937949236296,-0.3696994028612896,-0.28163501200531843,0.07268886455525603,0.03870282515816864,0.10733491198635794,-0.04982351190476192,-0.11476832884097032,-0.042079464285714296,-0.08227938005390845,0.17436175595238093,0.4993611354447439,-0.15583614948337823,0.09506339285714285,0.09506339285714285,0.5944245283018867,0.2694251488095238,0.6129501347708894,0.25755074744416423,0.018696069031639503,2086
allenai/Llama-3.1-Tulu-3-8B,6,ABL_worked_only,False,worked,7,53,371,-0.2766689465408805,-0.31557125771807276,-0.2386832313796139,0.12101929750673851,0.08864136290646328,0.1546234534999074,-0.06975074404761906,-0.21248045822102418,-0.0914611607142857,-0.1831382749326146,0.14490729166666666,0.4215762382075472,-0.12952845069631624,0.07513616071428571,0.07513616071428571,0.4967123989218329,0.22004345238095238,0.5120912398921833,0.2390440626578052,0.05321188878235858,2086
allenai/Llama-3.1-Tulu-3-8B,7,ABL_fewshot_only,False,fewshot,7,53,371,-0.43923878032345004,-0.48611720474063774,-0.39276492262688323,-0.04155053627583105,-0.07185892784472288,-0.010837697257269146,-0.01947500000000002,0.03907628032345012,-0.0024742559523809327,0.026159838274932512,0.1836184523809524,0.6228572327044024,-0.21049823674752918,0.12541190476190475,0.12541190476190475,0.7482691374663072,0.30903035714285715,0.7213893530997304,0.3104190379009129,0.04218600191754554,2086
allenai/Llama-3.1-Tulu-3-8B,8,ABL_principle_only,False,principle,7,53,371,-0.22446998539982027,-0.2650086281088108,-0.18548406537002587,0.17321825864779872,0.13788281874719224,0.21018088212956035,-0.0007849702380952339,-0.10941900269541771,0.063799255952381,0.011333153638814153,0.23120193452380955,0.4556719199236298,-0.12441312050763687,0.14410193452380954,0.14410193452380954,0.5997738544474394,0.3753038690476191,0.706562668463612,0.2548795579500928,0.02348993288590604,2086
HuggingFaceH4/zephyr-7b-beta,4,few_shot_adult,True,cue+worked+fewshot,7,53,371,-0.27994680480682843,-0.3151948446696738,-0.245281541734248,0.2716354166666667,0.2210425499561751,0.3230873155856142,-0.022515922619047606,-0.3613785714285715,-0.08974315476190475,-0.32893247978436657,0.015409374999999996,0.2953561798068284,0.019597363544474368,0.0407873511904762,0.0407873511904762,0.3361435309973046,0.05619672619047619,0.371150269541779,0.2111300563958469,0.13854266538830298,2086
HuggingFaceH4/zephyr-7b-beta,5,intent_principle,True,cue+worked+fewshot+principle,7,53,371,-0.3368580244833782,-0.3782818231957203,-0.29746258933565406,0.2147241969901169,0.16896171144692315,0.26085044759905596,-0.04080833333333332,-0.23751913746630732,-0.022794940476190476,-0.15234380053908358,0.10064999999999999,0.4375080244833783,-0.012914016172506777,0.022494940476190477,0.022494940476190477,0.46000296495956877,0.12314494047619047,0.547738948787062,0.27214078845321116,0.3034515819750719,2086
HuggingFaceH4/zephyr-7b-beta,6,ABL_worked_only,False,worked,7,53,371,-0.2874274062219227,-0.32026915210471996,-0.2563490111760292,0.2641548152515724,0.22449172930237332,0.3051532297322811,0.0014193452380952404,-0.25669663072776283,0.007458184523809502,-0.2322470350404312,0.0886754464285714,0.3761028526504942,-0.06166520384097031,0.06472261904761904,0.06472261904761904,0.44082547169811326,0.15339806547619045,0.46783571428571435,0.28078318651702566,0.3015340364333653,2086
HuggingFaceH4/zephyr-7b-beta,7,ABL_fewshot_only,False,fewshot,7,53,371,-0.33142393587151847,-0.36998786991801436,-0.2936017340664365,0.22015828560197664,0.17381286141031546,0.26845782416687064,-0.022993749999999993,-0.29084474393531007,-0.07068645833333333,-0.29917358490566043,0.03494389880952381,0.3663678346810422,-0.040712092879604686,0.04030952380952381,0.04030952380952381,0.406677358490566,0.07525342261904762,0.40090916442048513,0.23453291728038278,0.14669223394055608,2086
HuggingFaceH4/zephyr-7b-beta,8,ABL_principle_only,False,principle,7,53,371,-0.38179871967654994,-0.4283337089251118,-0.33416110689475914,0.16978350179694518,0.11892414352687182,0.22202949452457407,0.0016413690476190512,-0.06308409703504059,0.10669940476190473,-0.014197843665768262,0.18769464285714282,0.5694933625336926,-0.13624774258760103,0.06494464285714285,0.06494464285714285,0.6344380053908355,0.2526392857142857,0.6858849056603773,0.32157437580176257,0.21860019175455417,2086
mistralai/Mistral-7B-Instruct-v0.3,4,few_shot_adult,True,cue+worked+fewshot,7,53,371,-0.423232614555256,-0.46288870977088936,-0.38275085547972704,0.037103088499550796,-0.0033821608400771874,0.0788459743957798,-0.06783497023809522,-0.10350606469002699,-0.06640297619047619,-0.08392964959568738,0.1283349702380952,0.5515675847933512,-0.11643914813566932,0.10737217261904762,0.10737217261904762,0.6589397574123989,0.23570714285714284,0.6708355795148248,0.28097293586171607,0.050335570469798654,2086
mistralai/Mistral-7B-Instruct-v0.3,5,intent_principle,True,cue+worked+fewshot+principle,7,53,371,-0.3970844030772686,-0.44489664568733156,-0.34788002177840227,0.0632512999775382,0.017144257677127465,0.11079632009820434,-0.10963586309523807,-0.1268675202156334,-0.06361622023809521,-0.07054568733153643,0.17292261904761905,0.5700070221248876,-0.12428137915543577,0.06557127976190477,0.06557127976190477,0.6355783018867924,0.23849389880952382,0.6842195417789757,0.29733484049086284,0.14477468839884947,2086
mistralai/Mistral-7B-Instruct-v0.3,6,ABL_worked_only,False,worked,7,53,371,-0.25413819631626233,-0.28034572851331846,-0.22878059189323802,0.20619750673854448,0.1741415377614849,0.23915652630779022,0.04307217261904761,-0.21879393530997304,-0.012596428571428564,-0.20514716981132075,0.07123437500000002,0.32537257131626235,-0.06526820249326143,0.21827931547619045,0.21827931547619045,0.5436518867924528,0.28951369047619047,0.5496180592991914,0.2352739972475291,0.01821668264621285,2086
mistralai/Mistral-7B-Instruct-v0.3,7,ABL_fewshot_only,False,fewshot,7,53,371,-0.4797633086253368,-0.5216297495237663,-0.4351928006394449,-0.01942760557052997,-0.06046062708894876,0.026048012488769107,-0.051942410714285694,-0.03705215633423187,-0.05647976190476192,-0.028412803234501238,0.12236562499999996,0.6021289336253368,-0.12140686489218301,0.12326473214285714,0.12326473214285714,0.725393665768194,0.2456303571428571,0.7263524258760109,0.31054844021983596,0.05081495685522531,2086
mistralai/Mistral-7B-Instruct-v0.3,8,ABL_principle_only,False,principle,7,53,371,-0.2110602145103324,-0.24121250550085252,-0.17989766079235422,0.2492754885444744,0.21504595882402527,0.28529797118539796,0.1845254464285715,-0.008228167115902907,0.2410473214285715,0.03419029649595684,0.1834248511904762,0.3944850657008086,-0.14868698057053015,0.35973258928571433,0.35973258928571433,0.7542176549865229,0.5431574404761905,0.788955525606469,0.23845162291673877,0.03978906999041227,2086
